Entrez_Gene_Id,DepMap_ID
7157,ACH-000001
7029,ACH-000001
5295,ACH-000001
107,ACH-000001
135941,ACH-000001
654463,ACH-000001
4893,ACH-000002
2894,ACH-000002
5653,ACH-000002
0,ACH-000002
1029,ACH-000002
55582,ACH-000002
54810,ACH-000003
7157,ACH-000003
4089,ACH-000003
324,ACH-000003
6041,ACH-000004
23491,ACH-000004
7157,ACH-000004
10721,ACH-000004
23491,ACH-000005
7157,ACH-000005
79368,ACH-000006
22897,ACH-000006
7157,ACH-000006
1062,ACH-000006
83932,ACH-000007
6262,ACH-000007
56952,ACH-000007
3845,ACH-000007
1910,ACH-000007
4620,ACH-000007
339221,ACH-000007
6597,ACH-000007
11136,ACH-000007
26160,ACH-000007
57466,ACH-000007
9832,ACH-000007
3105,ACH-000007
135924,ACH-000007
7046,ACH-000007
9229,ACH-000008
23040,ACH-000008
6323,ACH-000008
124,ACH-000008
3617,ACH-000008
673,ACH-000008
7157,ACH-000009
4089,ACH-000009
23040,ACH-000009
80309,ACH-000009
50852,ACH-000009
256076,ACH-000009
2160,ACH-000009
324,ACH-000009
10319,ACH-000009
3045,ACH-000011
121256,ACH-000011
143,ACH-000011
4780,ACH-000011
5290,ACH-000011
3298,ACH-000011
391189,ACH-000012
26033,ACH-000012
338322,ACH-000012
7157,ACH-000012
22837,ACH-000012
7273,ACH-000012
6531,ACH-000012
1956,ACH-000012
7157,ACH-000013
84162,ACH-000013
5295,ACH-000013
107,ACH-000013
27130,ACH-000013
731,ACH-000014
23063,ACH-000014
196385,ACH-000014
145508,ACH-000014
7157,ACH-000014
9229,ACH-000014
23040,ACH-000014
6323,ACH-000014
124,ACH-000014
389384,ACH-000014
7021,ACH-000014
3617,ACH-000014
673,ACH-000014
65083,ACH-000014
23731,ACH-000014
10076,ACH-000015
7157,ACH-000015
6326,ACH-000015
256227,ACH-000015
6512,ACH-000017
7157,ACH-000017
4622,ACH-000017
94025,ACH-000017
8360,ACH-000017
27130,ACH-000017
3265,ACH-000018
2625,ACH-000019
57102,ACH-000019
57578,ACH-000019
57194,ACH-000019
389090,ACH-000019
5290,ACH-000019
10788,ACH-000019
114792,ACH-000019
1612,ACH-000019
1009,ACH-000020
0,ACH-000021
7157,ACH-000021
79925,ACH-000021
1307,ACH-000022
283159,ACH-000022
3845,ACH-000022
8848,ACH-000022
7157,ACH-000022
140862,ACH-000022
23024,ACH-000022
1307,ACH-000023
283159,ACH-000023
3845,ACH-000023
8848,ACH-000023
7157,ACH-000023
140862,ACH-000023
79953,ACH-000023
23024,ACH-000023
56108,ACH-000023
113622,ACH-000024
55567,ACH-000024
7157,ACH-000024
9842,ACH-000024
57573,ACH-000024
79633,ACH-000024
1297,ACH-000024
1029,ACH-000024
4893,ACH-000025
140732,ACH-000025
5243,ACH-000025
3045,ACH-000026
121256,ACH-000026
143,ACH-000026
4780,ACH-000026
5290,ACH-000026
3298,ACH-000026
283446,ACH-000027
2625,ACH-000028
57102,ACH-000028
57194,ACH-000028
3755,ACH-000028
5290,ACH-000028
10788,ACH-000028
1612,ACH-000028
391189,ACH-000029
26033,ACH-000029
338322,ACH-000029
79190,ACH-000029
7157,ACH-000029
3249,ACH-000029
22837,ACH-000029
7273,ACH-000029
1956,ACH-000029
84938,ACH-000030
3078,ACH-000030
22982,ACH-000030
50613,ACH-000030
8085,ACH-000030
23504,ACH-000030
7157,ACH-000030
4619,ACH-000030
3768,ACH-000030
5178,ACH-000030
23040,ACH-000030
55251,ACH-000030
1956,ACH-000030
23114,ACH-000031
3845,ACH-000031
121256,ACH-000031
21,ACH-000031
7157,ACH-000031
6597,ACH-000031
22903,ACH-000031
10869,ACH-000031
23530,ACH-000031
2257,ACH-000032
7157,ACH-000033
1993,ACH-000033
4893,ACH-000034
2894,ACH-000034
1029,ACH-000034
922,ACH-000035
7157,ACH-000035
2712,ACH-000035
84466,ACH-000035
1956,ACH-000035
1993,ACH-000035
4926,ACH-000036
283446,ACH-000036
57674,ACH-000036
1993,ACH-000036
494115,ACH-000037
5087,ACH-000037
387597,ACH-000037
26052,ACH-000037
9213,ACH-000037
2752,ACH-000037
80267,ACH-000037
10625,ACH-000037
51094,ACH-000037
51094,ACH-000037
11221,ACH-000037
11221,ACH-000037
92815,ACH-000037
343171,ACH-000037
1982,ACH-000037
744,ACH-000037
8539,ACH-000037
10658,ACH-000037
23705,ACH-000037
23705,ACH-000037
51092,ACH-000037
10059,ACH-000037
161742,ACH-000037
8554,ACH-000037
26035,ACH-000037
4756,ACH-000037
1387,ACH-000037
7874,ACH-000037
80790,ACH-000037
22859,ACH-000037
55843,ACH-000037
9839,ACH-000037
55777,ACH-000037
57703,ACH-000037
10477,ACH-000037
1290,ACH-000037
1290,ACH-000037
1290,ACH-000037
23451,ACH-000037
4719,ACH-000037
8452,ACH-000037
2817,ACH-000037
3069,ACH-000037
3069,ACH-000037
55968,ACH-000037
23054,ACH-000037
22839,ACH-000037
5335,ACH-000037
11096,ACH-000037
7074,ACH-000037
6651,ACH-000037
51304,ACH-000037
285331,ACH-000037
84864,ACH-000037
9868,ACH-000037
90102,ACH-000037
54464,ACH-000037
9435,ACH-000037
10057,ACH-000037
1981,ACH-000037
26043,ACH-000037
1182,ACH-000037
7204,ACH-000037
25836,ACH-000037
83741,ACH-000037
4172,ACH-000037
23469,ACH-000037
57579,ACH-000037
91694,ACH-000037
7991,ACH-000037
3084,ACH-000037
2260,ACH-000037
7336,ACH-000037
51366,ACH-000037
26190,ACH-000037
5711,ACH-000037
54542,ACH-000037
54542,ACH-000037
57684,ACH-000037
2649,ACH-000037
25,ACH-000037
100506736,ACH-000038
3481,ACH-000039
222584,ACH-000039
256227,ACH-000039
57795,ACH-000040
5728,ACH-000040
79657,ACH-000040
84872,ACH-000040
7157,ACH-000040
8536,ACH-000040
79850,ACH-000041
7157,ACH-000041
